代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
sz300395,菲利华,0.0,0.0,0.0,111.57,111.57,111.57,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300396,迪瑞医疗,0.0,0.0,0.0,0.0,0.0,11.59,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300397,天和防务,0.0,0.0,0.0,12.65,12.65,12.67,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300398,飞凯材料,0.0,0.0,0.0,31.11,31.11,30.93,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300399,天利科技,0.0,0.0,0.0,21.99,21.99,21.68,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300400,劲拓股份,0.0,0.0,0.0,25.8,25.8,25.57,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300401,花园生物,0.0,0.0,0.0,13.25,13.25,13.21,0.0,0.0,0.0,0.0,0.0,09:23:09
sz300402,宝色股份,0.0,0.0,0.0,18.34,18.34,18.34,0.0,0.0,0.0,0.0,0.0,09:23:09
sz300403,汉宇集团,0.0,0.0,0.0,10.85,10.85,10.79,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300404,博济医药,0.0,0.0,0.0,10.64,10.64,10.59,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300405,科隆股份,0.0,0.0,0.0,6.74,6.74,6.68,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300406,九强生物,0.0,0.0,0.0,12.39,12.39,12.38,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300407,凯发电气,0.0,0.0,0.0,13.29,13.29,13.11,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300408,三环集团,0.0,0.0,0.0,86.48,86.48,82.01,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300409,道氏技术,0.0,0.0,0.0,27.25,27.25,27.45,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300410,正业科技,0.0,0.0,0.0,10.02,10.02,10.01,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300411,金盾股份,0.0,0.0,0.0,10.23,10.23,10.24,0.0,0.0,0.0,0.0,0.0,09:22:42
sz300412,迦南科技,0.0,0.0,0.0,5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300413,芒果超媒,0.0,0.0,0.0,19.85,19.85,19.82,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300414,中光防雷,0.0,0.0,0.0,14.01,14.01,14.06,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300415,伊之密,0.0,0.0,0.0,23.9,23.9,23.9,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300416,苏试试验,0.0,0.0,0.0,16.58,16.58,16.78,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300417,南华仪器,0.0,0.0,0.0,13.62,13.62,13.83,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300418,昆仑万维,0.0,0.0,0.0,49.83,49.83,50.18,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300419,ST浩丰,0.0,0.0,0.0,6.9,6.9,6.99,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300420,五洋自控,0.0,0.0,0.0,3.62,3.62,3.65,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300421,力星股份,0.0,0.0,0.0,22.85,22.85,22.92,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300422,博世科,0.0,0.0,0.0,5.67,5.67,5.72,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300423,昇辉科技,0.0,0.0,0.0,7.99,7.99,7.9,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300424,航新科技,0.0,0.0,0.0,18.02,18.02,18.17,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300425,中建环能,0.0,0.0,0.0,4.99,4.99,5.02,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300426,华智数媒,0.0,0.0,0.0,7.43,7.43,7.43,0.0,0.0,0.0,0.0,0.0,09:23:27
sz300427,红相股份,0.0,0.0,0.0,10.9,10.9,10.91,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300428,立中集团,0.0,0.0,0.0,20.82,20.82,21.02,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300429,强力新材,0.0,0.0,0.0,14.03,14.03,14.03,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300430,诚益通,0.0,0.0,0.0,0.0,0.0,17.01,0.0,0.0,0.0,0.0,0.0,09:23:21
sz300432,富临精工,0.0,0.0,0.0,27.62,27.62,27.61,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300433,蓝思科技,0.0,0.0,0.0,25.7,25.7,25.82,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300434,金石亚药,0.0,0.0,0.0,11.36,11.36,11.31,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300435,中泰股份,0.0,0.0,0.0,24.02,24.02,23.88,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300436,广生堂,0.0,0.0,0.0,114.51,114.51,116.81,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300437,清水源,0.0,0.0,0.0,16.28,16.28,16.28,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300438,鹏辉能源,0.0,0.0,0.0,82.0,82.0,81.0,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300439,美康生物,0.0,0.0,0.0,9.97,9.97,10.09,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300440,运达科技,0.0,0.0,0.0,17.98,17.98,17.72,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300441,鲍斯股份,0.0,0.0,0.0,6.97,6.97,6.99,0.0,0.0,0.0,0.0,0.0,09:23:18
sz300442,润泽科技,0.0,0.0,0.0,90.01,90.01,90.44,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300443,金雷股份,0.0,0.0,0.0,29.8,29.8,29.76,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300444,双杰电气,0.0,0.0,0.0,16.48,16.48,16.47,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300445,康斯特,0.0,0.0,0.0,21.22,21.22,21.4,0.0,0.0,0.0,0.0,0.0,09:23:09
sz300446,航天智造,0.0,0.0,0.0,18.95,18.95,18.95,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300447,全信股份,0.0,0.0,0.0,18.7,18.7,18.91,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300448,浩云科技,0.0,0.0,0.0,7.69,7.69,7.81,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300449,汉邦高科,0.0,0.0,0.0,7.44,7.44,7.39,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300450,先导智能,0.0,0.0,0.0,55.06,55.06,55.81,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300451,创业慧康,0.0,0.0,0.0,4.39,4.39,4.41,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300452,山河药辅,0.0,0.0,0.0,14.01,14.01,14.11,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300453,三鑫医疗,0.0,0.0,0.0,10.27,10.27,10.29,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300454,深信服,0.0,0.0,0.0,115.26,115.26,113.6,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300455,航天智装,0.0,0.0,0.0,25.3,25.3,25.12,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300456,赛微电子,0.0,0.0,0.0,44.9,44.9,44.89,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300457,赢合科技,0.0,0.0,0.0,29.0,29.0,28.84,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300458,全志科技,0.0,0.0,0.0,35.2,35.2,34.48,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300459,汤姆猫,0.0,0.0,0.0,4.16,4.16,4.17,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300460,ST惠伦,0.0,0.0,0.0,9.42,9.42,9.41,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300461,田中精机,0.0,0.0,0.0,53.79,53.79,53.0,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300462,ST华铭,0.0,0.0,0.0,13.24,13.24,13.37,0.0,0.0,0.0,0.0,0.0,09:24:00
sz300463,迈克生物,0.0,0.0,0.0,10.63,10.63,10.59,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300464,星徽股份,0.0,0.0,0.0,7.78,7.78,7.91,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300465,高伟达,0.0,0.0,0.0,14.15,14.15,14.11,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300466,赛摩智能,0.0,0.0,0.0,8.95,8.95,8.98,0.0,0.0,0.0,0.0,0.0,09:24:03
